sh600000,2021_03_05_09:33:47,10.91,--,1291,"1,408,754",ÂôÅÌ
sh600000,2021_03_05_09:33:44,10.91,--,432,"471,312",ÂôÅÌ
sh600000,2021_03_05_09:33:41,10.91,--,92,"100,372",ÂôÅÌ
sh600000,2021_03_05_09:33:38,10.91,--,93,"101,463",ÂôÅÌ
sh600000,2021_03_05_09:33:35,10.91,-0.01,456,"497,496",ÂôÅÌ
sh600000,2021_03_05_09:33:32,10.92,-0.01,2039,"2,226,588",ÂôÅÌ
sh600000,2021_03_05_09:33:29,10.93,--,1154,"1,261,322",ÂôÅÌ
sh600000,2021_03_05_09:33:26,10.93,-0.01,212,"231,716",ÂôÅÌ
sh600000,2021_03_05_09:33:23,10.94,0.01,108,"118,152",ÂòÅÌ
sh600000,2021_03_05_09:33:20,10.93,--,193,"210,949",ÂôÅÌ
sh600000,2021_03_05_09:33:17,10.93,--,142,"155,206",ÂôÅÌ
sh600000,2021_03_05_09:33:14,10.93,--,280,"306,040",ÂôÅÌ
sh600000,2021_03_05_09:33:11,10.93,--,196,"214,228",ÂôÅÌ
sh600000,2021_03_05_09:33:08,10.93,--,279,"304,947",ÂôÅÌ
sh600000,2021_03_05_09:33:05,10.93,--,175,"191,275",ÂôÅÌ
sh600000,2021_03_05_09:33:02,10.93,--,322,"351,946",ÂòÅÌ
sh600000,2021_03_05_09:32:59,10.93,--,393,"429,549",ÂòÅÌ
sh600000,2021_03_05_09:32:56,10.93,0.01,130,"142,090",ÂòÅÌ
sh600000,2021_03_05_09:32:53,10.92,-0.01,325,"354,900",ÂôÅÌ
sh600000,2021_03_05_09:32:50,10.93,0.01,418,"457,147",ÂòÅÌ
sh600000,2021_03_05_09:32:47,10.92,--,402,"438,984",ÂôÅÌ
sh600000,2021_03_05_09:32:44,10.92,--,209,"228,228",ÂôÅÌ
sh600000,2021_03_05_09:32:41,10.92,--,153,"167,076",ÂôÅÌ
sh600000,2021_03_05_09:32:38,10.92,--,428,"467,376",ÂôÅÌ
sh600000,2021_03_05_09:32:35,10.92,--,71,"77,532",ÂôÅÌ
